"field"	"label"	"value"
"specright__Manufacturer2__c"	"Manufacturer2"	"string"
"specright__Master_Batch_Type2__c"	"Master Batch Type"	"string"
"specright__Master_Specification2__c"	"Master Specification"	"Lookup(specright__Specification__c)"
"specright__Master_Supplier2__c"	"Master/Supplier"	"string"
"specright__Material3__c"	"Material"	"picklist"
"specright__Material_Combination2__c"	"Material Combination"	"string"
"specright__Material_Warp_Spec2__c"	"Material/Warp Spec"	"string"
"specright__Max_Roll_OD__c"	"Max Roll OD"	"double"
"specright__Medium_Coatings2__c"	"Medium Coatings"	"string"
"specright__Melting_Point__c"	"Melting Point"	"double"
"specright__Mil2__c"	"Mil"	"double"
"specright__Moisture_Resistance2__c"	"Moisture Resistance"	"string"
"specright__Mould_Number2__c"	"Mould Number"	"string"
"specright__Neck_Finish2__c"	"Neck Finish"	"picklist"
"specright__Number_Across2__c"	"Number Across"	"double"
"specright__Number_of_Colors3__c"	"Number of Colors"	"double"
"specright__Opacity2__c"	"Opacity"	"string"
"specright__Outside_Coatings2__c"	"Outside Coatings"	"string"
"specright__Outside_Diameter__c"	"Outside Diameter"	"double"
"specright__Overall_Net_Dimensions2__c"	"Overall Net Dimensions"	"string"
"specright__PLU2__c"	"PLU#"	"double"
"specright__Package_Type_Style2__c"	"Package Type/Style"	"picklist"
"specright__Placement_Location2__c"	"Placement/Location"	"string"
"specright__Price_per_Unit3__c"	"Price per Unit"	"currency"
"specright__Print_Coatings2__c"	"Print Coatings"	"string"
"specright__Print_Coverage__c"	"% of Print Coverage"	"percent"
"specright__Print_Side2__c"	"Print Side"	"picklist"
"specright__Printed_Number_of_Sides__c"	"Printed # of Sides"	"double"
"specright__Prior_Part_Numbers2__c"	"Prior Part IDs"	"string"
"specright__Quantity_Per_Reel2__c"	"Quantity Per Reel"	"double"
"specright__Quantity_per_Year2__c"	"Quantity per Year"	"double"
"specright__ReWind2__c"	"ReWind"	"string"
"specright__Recyclable2__c"	"Recyclable"	"picklist"
"specright__Recycle_Symbol2__c"	"Recycle Symbol"	"picklist"
"specright__Recycled_Content2__c"	"Recycled Content"	"percent"
"specright__Repeat2__c"	"Repeat"	"double"
"specright__Roll_Diameter2__c"	"Roll Diameter (in)"	"double"
"specright__Scoring_and_Perf_Special_Instructions2__c"	"Scoring and Perf Special Instructions"	"textarea"
"specright__Seal_Closure2__c"	"Seal/Closure"	"picklist"
"specright__Seal_Closure_Bottom2__c"	"Seal/Closure Bottom"	"string"
"specright__Seal_Closure_Sides2__c"	"Seal/Closure Sides"	"string"
"specright__Seal_Closure_Top2__c"	"Seal/Closure Top"	"string"
"specright__Seam_Joint2__c"	"Seam/Joint"	"picklist"
"specright__Shape2__c"	"Shape"	"picklist"
"specright__Shelf_Life2__c"	"Shelf Life"	"string"
"specright__Shrink_Ratio_MD__c"	"Shrink Ratio MD"	"percent"
"specright__Shrink_Ratio_TD__c"	"Shrink Ratio TD"	"percent"
"specright__Side_Load_Min__c"	"Side Load-Min"	"double"
"specright__Slide_Speck2__c"	"COF"	"percent"
"specright__Softening_Point__c"	"Softening Point"	"double"
"specright__Spec_Name__c"	"Spec Name"	"string"
"specright__Special_Adhesives3__c"	"Special Adhesives"	"string"
"specright__Special_Gap_Data2__c"	"Special Gap Data"	"string"
"specright__Special_Instructions_Print__c"	"Special Instructions (Print)"	"textarea"
"specright__Special_Instructions_Structure__c"	"Special Instructions (Structure)"	"textarea"
"specright__Specific_Gravity__c"	"Specific Gravity"	"double"
"specright__Square_Footage2__c"	"Square Footage"	"double"
"specright__Status__c"	"Status"	"picklist"
"specright__Storage2__c"	"Storage"	"string"
"specright__Stringers2__c"	"Stringers"	"string"
"specright__Style2__c"	"Style"	"string"
"specright__Substrate2__c"	"Substrate"	"string"
"specright__Supersede_Reason__c"	"Supersede Reason"	"string"
"specright__Superseded_By__c"	"Superseded By"	"Lookup(specright__Specification__c)"
"specright__Supersedes__c"	"Supersedes"	"Lookup(specright__Specification__c)"
"specright__Supplier__c"	"Supplier"	"Lookup(Account)"
"specright__Tamper_Evidence2__c"	"Tamper Evidence"	"string"
"specright__Top_Load_Min__c"	"Top Load-Min"	"double"
"specright__Torque__c"	"Torque"	"double"
"specright__Turnable2__c"	"Turnable"	"picklist"
"specright__Type_of_Ink2__c"	"zDNU Type of Ink"	"picklist"
"specright__Type_of_Print2__c"	"zDNU Type of Print"	"picklist"
"specright__UPC3__c"	"UPC"	"string"
"specright__UoM2__c"	"UoM"	"picklist"
"specright__Verification_Date__c"	"Verification Date"	"date"
"specright__Verification_Notes__c"	"Verification Notes"	"textarea"
"specright__Verified_By_Name__c"	"Verified By Name"	"Lookup(User)"
"specright__Verified_By_Supplier__c"	"Verified By Supplier"	"boolean"
"specright__Version_Number__c"	"Version Number"	"double"
"specright__Viscosity2__c"	"Viscosity"	"string"
"specright__Volume2__c"	"Volume"	"double"
"specright__Wall_Thickness__c"	"Wall Thickness"	"double"
"specright__Web2__c"	"zDNU Web"	"double"
"specright__Weight2__c"	"Weight"	"double"
"specright__Weight_Grade2__c"	"Weight/Grade"	"picklist"
"specright__Weight_of_Product2__c"	"Weight of Product"	"double"
"specright__Wicket2__c"	"Wicket"	"string"
"specright__Width2__c"	"Width (in)"	"double"
"specright__Width_Tolerance__c"	"Width Tolerance"	"string"
"specright__Wind2__c"	"Wind"	"string"
"specright__Winding_Direction2__c"	"Winding Direction"	"string"
"SR_Component_Type__c"	"Component Type"	"picklist"
"Specification__c"	"Specification"	"Lookup(specright__Specification__c)"
"Length_mm__c"	"Length (mm)"	"double"
"Width_mm__c"	"Width (mm)"	"double"
"Depth_mm__c"	"Depth (mm)"	"double"
"Recycled_Content_by_Year__c"	"Recycled Content by Year"	"double"
"Material_Name__c"	"Material Name"	"picklist"
"SR_Cost__c"	"Cost"	"currency"
"Manufacturing_or_Conversion_Process__c"	"Manufacturing or Conversion Process"	"multipicklist"
"SR_Weight_lbs__c"	"Weight (lbs)"	"double"
"FSC__c"	"FSC"	"boolean"
"FSC_Controlled_Wood__c"	"FSC Controlled Wood"	"boolean"
"How2Recycle__c"	"How2Recycle"	"boolean"
"Kgs_per_Year__c"	"Kgs per Year"	"double"
"Flute_Type__c"	"Flute Type"	"picklist"
"SR_Board_Style__c"	"Board Style"	"picklist"
"Overall_Dimensions_outside__c"	"Overall Dimensions (outside)"	"string"
"SR_Artwork_Status__c"	"Artwork Status"	"picklist"
"Language__c"	"Language"	"multipicklist"
"specright__Original_Version_Id__c"	"Original Version Id"	"string"
"MoCRA_Compliant__c"	"MoCRA Compliant"	"picklist"
"Fragrance_Allergen_claim_required__c"	"Fragrance Allergen claim required?"	"picklist"
"Professional_Use_Product__c"	"Professional-Use Product?"	"picklist"
"SR_Finished_Good_Connection__c"	"Finished Good Connection"	"Lookup(specright__Finished_Good_Connection__c)"
"SR_Legacy_Part_ID__c"	"Legacy Part ID"	"string"
"SR_Auto_Number2__c"	"SR Auto Number"	"string"
"SR_Brand__c"	"Brand"	"picklist"
"SR_Carton_Structure_Type__c"	"Carton Structure Type"	"picklist"
"SR_Case_Length_in__c"	"Case Length (in)"	"double"
"SR_Case_Width_in__c"	"Case Width (in)"	"double"
"SR_Case_Height_in__c"	"Case Height (in)"	"double"
"SR_Qty_per_Case__c"	"Qty per Case"	"double"
"SR_Filled_Case_Weight_lbs__c"	"Filled Case Weight (lbs)"	"double"
"SR_Packout_Instructions__c"	"Packout Instructions"	"string"
"SR_Palletization_Instructions__c"	"Palletization Instructions"	"string"
"SR_Test_Requirements__c"	"Test Requirements"	"textarea"
"SR_Paperboard_Weight__c"	"Paperboard Weight"	"string"
"SR_Paperboard_Color__c"	"Paperboard Color"	"string"
"SR_FSC_Certified__c"	"FSC Certified"	"picklist"
"SR_Additional_Treatments__c"	"Additional Treatments"	"textarea"
"SR_Volume_ft3__c"	"Volume (ft3)"	"double"
"SR_MB_Manufacturer_Color_1__c"	"MB Manufacturer Color 1"	"Lookup(Account)"
"SR_MB_Manufacturer_Color_2__c"	"MB Manufacturer Color 2"	"Lookup(Account)"
"SR_MB_Manufacturer_Color_3__c"	"MB Manufacturer Color 3"	"Lookup(Account)"
"SR_Brimful_Capacity_Target_mL__c"	"Brimful Capacity Target (mL)"	"double"
"SR_Cap_Diameter_in__c"	"Cap Diameter (in)"	"double"
"SR_Cap_Orifice_Size_in__c"	"Cap Orifice Size (in)"	"double"
"SR_Compression_Strength_psi__c"	"Compression Strength (psi)"	"double"
"SR_Diameter_in__c"	"Diameter (in)"	"double"
"SR_Dip_Tube_Length_FBOG_in__c"	"Dip Tube Length FBOG (in)"	"double"
"SR_Dosage_mL_stroke__c"	"Dosage (mL/stroke)"	"double"
"SR_Height_External_in__c"	"Height: External (in)"	"double"
"SR_Insert_Orifice_Size_mm__c"	"Insert Orifice Size (mm)"	"double"
"SR_Length_External_in__c"	"Length: External (in)"	"double"
"SR_Orifice_Size_in__c"	"Orifice Size (in)"	"double"
"SR_Orifice_Size_mm__c"	"Orifice Size (mm)"	"double"
"SR_Overall_Height_in__c"	"Overall Height (in)"	"double"
"SR_Overall_Length_in__c"	"Overall Length (in)"	"double"
"SR_Overall_Width_in__c"	"Overall Width (in)"	"double"
"SR_Sleeve_Length_in__c"	"Sleeve Length (in)"	"double"
"SR_Sleeve_Thickness_in__c"	"Sleeve Thickness (in)"	"double"
"SR_Unwind_Direction__c"	"Unwind Direction"	"double"
"SR_Weight_g__c"	"Weight (g)"	"double"
"SR_Width_External_in__c"	"Width: External (in)"	"double"
"SR_Spray_Angle_deg__c"	"Spray Angle (deg)"	"double"
"SR_Cap_Diameter_Tolerance__c"	"Cap Diameter Tolerance (+/-)"	"double"
"SR_Cap_Orifice_Size_Tolerance__c"	"Cap Orifice Size Tolerance (+/-)"	"double"
"SR_Capacity_Tolerance__c"	"Capacity Tolerance (+/-)"	"double"
"SR_Diameter_Tolerance_in__c"	"Diameter Tolerance (+/-in)"	"double"
"SR_Height_Tolerance__c"	"Height Tolerance (+/-)"	"double"
"SR_Height_Tolerance_in__c"	"Height Tolerance (+/-in)"	"double"
"SR_Length_Tolerance__c"	"Length Tolerance (+/-)"	"double"
"SR_Length_Tolerance_in__c"	"Length Tolerance (+/-in)"	"double"
"SR_Orifice_Size_Tolerance_in__c"	"Orifice Size Tolerance (+/-in)"	"double"
"SR_Sleeve_Length_Tolerance_in__c"	"Sleeve Length Tolerance (+/-in)"	"double"
"SR_Thickness_Tolerance_in__c"	"Thickness Tolerance (+/-in)"	"double"
"SR_Weight_Tolerance_g__c"	"Weight Tolerance (+/-g)"	"double"
"SR_Weight_Tolerance_lbs__c"	"Weight Tolerance (+/-lbs)"	"double"
"SR_Width_Tolerance__c"	"Width Tolerance (+/-)"	"double"
"SR_Width_Tolerance_in__c"	"Width Tolerance (+/-in)"	"double"
"SR_Units_Per_Box__c"	"Units Per Box"	"double"
"Units_Per_Roll__c"	"Units Per Roll"	"double"
"SR_4_Way_Entry__c"	"4-Way Entry"	"picklist"
"SR_Cold_Foil__c"	"Cold Foil"	"picklist"
"SR_Gas_Tight__c"	"Gas Tight"	"picklist"
"SR_Hotstamp__c"	"Hotstamp"	"picklist"
"SR_Lamination__c"	"Lamination"	"picklist"
"SR_Cap_Closure_Type__c"	"Cap Closure Type"	"picklist"
"SR_Cap_Type__c"	"Cap Type"	"picklist"
"SR_Closure_Style__c"	"Closure Style"	"picklist"
"SR_Closure_Type__c"	"Closure Type"	"picklist"
"SR_Color_Effect__c"	"Color Effect"	"picklist"
"SR_Color_Effect_1__c"	"Color Effect 1"	"picklist"
"SR_Color_Effect_2__c"	"Color Effect 2"	"picklist"
"SR_Color_Effect_3__c"	"Color Effect 3"	"picklist"
"SR_Crimp_Style__c"	"Crimp Style"	"picklist"
"SR_Declared_Fill_UOM__c"	"Declared Fill UOM"	"picklist"
"SR_Liq_Sol_Color_1__c"	"Liq/Sol Color 1"	"picklist"
"SR_Liq_Sol_Color_2__c"	"Liq/Sol Color 2"	"picklist"
"SR_Liq_Sol_Color_3__c"	"Liq/Sol Color 3"	"picklist"
"SR_Method_of_Manufacture__c"	"Method of Manufacture"	"picklist"
"SR_Seal_Closure_Type__c"	"Seal/Closure Type"	"picklist"
"SR_Style__c"	"Style"	"picklist"
"SR_Tube_Head_Style__c"	"Tube Head Style"	"picklist"
"SR_Neck_Finish__c"	"Neck Finish"	"string"
"SR_Actuator_Color__c"	"Actuator Color"	"string"
"SR_Application_Force_Torque__c"	"Application Force / Torque"	"string"
"SR_Bottle_Treatment__c"	"Bottle Treatment"	"string"
"SR_Canister_Coating_Type__c"	"Canister Coating Type"	"string"
"SR_Canister_Treatment__c"	"Canister Treatment"	"string"
"SR_Cap_Color__c"	"Cap Color"	"string"
"SR_Cap_Material__c"	"Cap Material"	"string"
"SR_Cap_Neck_Finish__c"	"Cap Neck Finish"	"string"
"SR_Insert_Color__c"	"Insert Color"	"string"
"SR_Material__c"	"Material"	"string"
"SR_Open_Cell_Closed_Cell__c"	"Open Cell/Closed Cell"	"string"
"SR_Removal_Force_Torque__c"	"Removal Force / Torque"	"string"
"SR_Thread_Finish__c"	"Thread Finish"	"string"
"SR_Vendor_Part_ID__c"	"Vendor Part ID"	"string"
"SR_Web__c"	"Web"	"string"
"SR_Application_Comments__c"	"Application Comments"	"string"
"SR_Color_Description_1__c"	"Color Description 1"	"string"
"SR_Color_Description_2__c"	"Color Description 2"	"string"
"SR_Color_Description_3__c"	"Color Description 3"	"string"
"SR_Colorant_Color_1__c"	"Colorant % Color 1"	"string"
"SR_Colorant_Color_2__c"	"Colorant % Color 2"	"string"
"SR_Colorant_Color_3__c"	"Colorant % Color 3"	"string"
"SR_MB_Reference__c"	"MB Reference"	"string"
"SR_MB_Reference_1__c"	"MB Reference 1"	"string"
"SR_MB_Reference_2__c"	"MB Reference 2"	"string"
"SR_MB_Reference_3__c"	"MB Reference 3"	"string"
"SR_MB_Reference_Color_1__c"	"MB Reference Color 1"	"string"
"SR_MB_Reference_Color_2__c"	"MB Reference Color 2"	"string"
"SR_MB_Reference_Color_3__c"	"MB Reference Color 3"	"string"
"SR_Note_Color_1__c"	"Note Color 1"	"string"
"SR_Note_Color_2__c"	"Note Color 2"	"string"
"SR_Note_Color_3__c"	"Note Color 3"	"string"
"SR_Shipper_Dimensions_LxWxH__c"	"Shipper Dimensions (LxWxH)"	"string"
"SR_Adhesive_Type__c"	"Adhesive Type"	"string"
"SR_Hotstamp_Color__c"	"Hotstamp Color"	"string"
"SR_ECT__c"	"ECT"	"string"
"SR_Gusset__c"	"Gusset"	"string"
"SR_Lip__c"	"Lip"	"string"
"SR_Lamination_Substrate__c"	"Lamination Substrate"	"textarea"
"SR_Scoring_Perf_Special_Instructions__c"	"Scoring & Perf Special Instructions"	"textarea"
"SR_Secondary_Treatments__c"	"Secondary Treatments"	"textarea"
"specright__Cloned_From__c"	"Cloned From"	"Lookup(specright__Specification__c)"
"SR_Type_of_Print__c"	"Type of Print"	"multipicklist"
"SR_Type_of_Ink__c"	"Type of Ink"	"multipicklist"
"SR_Autonumber_Prefix__c"	"SR Autonumber Prefix"	"string"

